file_name,normalized_transcription
train1,"Hola, mi nombre es Jose Fernando Mendez, y estoy aca para presentar un ejemplo"
train2,Hoy el bitcoin estara un poco mas caro que ayer
train3,Sera que el precio del tomate estara mas caro el dia de mañana
train4,"Hoy celebramos nuestro segundo aniversario juntos, me siento muy feliz de compartir mi vida contigo"
train5,"Echo de menos tus labios, sentirlos junto a los mios y uno al otro saborearnos"
train6,Feliz 2013 y que sea un año lleno de grandes momentos y de mucha felicidad
train7,Que el 2012 este lleno de felicidad y que sea un año maravilloso para ti
train8,"Venga, ¡animate!, que veras que pronto se pasa la tristeza, solo es cuestion de tiempo"
train9,"animo, y que no se diga, que de cosas peores has salido, ponte bien pronto"
train10,"Vaya, te casas, dicen que se te acaba lo bueno, pero porque llega algo mejor"
train11,"Que seais muy felices y que la boda sea perfecta, mucha suerte para los dos"
train12,"Dicen que los amigos son para las ocasiones, pues tu siempre estas en todas. Gracias"
train13,"Hemos pasado mucho juntas, un abrazo muy grande y mil besos para mi mejor amiga"
train14,"Pablo, me viene perfecto quedar el viernes a las 10 para revisar los informes mensuales, cuenta con mi presencia"
train15,"Hola Paqui, mañana celebras tu Primera Comunion, ¿como van esos nervios?, tu estate tranquila que veras como lo disfrutas mucho"
train16,"Hoy se celebra nuestros primeros 12 meses juntos, vamos a celebrar este primer año y que haya muchos mas años"
train17,"Dentro de nada vuelve el invierno, tardes de frio, lluvia y nieve, lo pasaremos al abrigo de un buen fuego"
train18,"Cada dia aparecen nuevas esperanzas, asi que no te preocupes, veras como todos los problemas se solucionan con el tiempo"
train19,"Ya hace 2 años desde que te encontramos y desde entonces todo han sido alegrias, que suerte que dimos contigo"
train20,"Que gran perro eres, si, tu tamaño es pequeño, pero siempre estas alegrando nuestros dias y jugando con nuestros hijos"
train21,"Buenas noches mi querida Rosa, que tus sueños sean agradables y que el despertar no se haga muy cuesta arriba"
train22,"Que la tranquilidad envuelva tus sueños y que tengas una buena noche, mañana cuando despiertes te espera un gran dia"
train23,"Buenas noches Maria, sueña conmigo, que no quiero pasar ni un segundo sin ti, ni despierto ni durmiendo. Mil besos"
train24,"Hoy el precio del tomate esta a 1545 colones, pero mañana puede que este a 1600 colones"
train25,"Hoy el precio del aguacate esta a unos 5 dolares, pero mañana puede que este a 6 dolares"
train26,"La casa del vecino tiene un pecio muy alto, creo que 56,802,514 colones"
train27,"El carro de la casa tiene un valor de 2525468, pero mi hermano lo esta dejando para unos 2500000"
train28,0 1 2 3 4 5 6 7 8 9
train29,La masa corporal de este paciente esta a unos 15 porcierto de densidad y unos 15 cm de abdomen
train30,"Beber vino en estos dias es muy gratificante, mas cuando es una cena muy especial"
train31,"La calidad del vino va a depender mucho de su consistencia, como el acido, azucar"
train32,"La hepatitis esta cada vez peor, muchos casos se han presentado ultimamente"
train33,"Hemos pasado mucho juntas, un abrazo muy grande y mil besos para mi mejor amiga"
train34,"Dicen que los amigos son para las ocasiones, pues tu siempre estas en todas. Gracias"
train35,"Que seais muy felices y que la boda sea perfecta, mucha suerte para los dos"
train36,"Vaya, te casas, dicen que se te acaba lo bueno, pero porque llega algo mejor"
train37,"animo, y que no se diga, que de cosas peores has salido, ponte bien pronto"
train38,"Venga, ¡animate!, que veras que pronto se pasa la tristeza, solo es cuestion de tiempo"
train39,Que el 2012 este lleno de felicidad y que sea un año maravilloso para ti
train40,Feliz 2013 y que sea un año lleno de grandes momentos y de mucha felicidad
train41,"Echo de menos tus labios, sentirlos junto a los mios y uno al otro saborearnos"
train42,"Hoy celebramos nuestro segundo aniversario juntos, me siento muy feliz de compartir mi vida contigo"
train43,"Es dificil poder vivir sin amor, pero sin agua es imposible."
train44,"La mayor diferencia entre los pajaros y los humanos es que, cuando construyen, los primeros dejan el paisaje intacto."
train45,"Se pueden cortar todas las flores, pero nunca se podra detener la primavera."
